"Title","URL","Resource type","Citation","Year","Number"
"Agricultural Commodity Price Shocks and Their Effect on Growth in Sub-Saharan Africa","https://onlinelibrary.wiley.com/doi/full/10.1111/1477-9552.12129","Journal article","Addison et al.","2016","1"
"Climate change and eastern Africa: a review of impact on major crops","https://doi.org/10.1002/fes3.61","Journal article","Adhikari et al.","2015","1"
"Climate change and eastern Africa: a review of impact on major crops","https://onlinelibrary.wiley.com/doi/full/10.1002/fes3.61","Journal","Adhikari et al.","2015","2"
"Influence of P Sources and Rhizobium Inoculation on Growth and Yield of Soybean Genotypes on Ferric Lixisols of Northern Guinea Savanna Zone of Ghana","https://www.tandfonline.com/doi/abs/10.1080/00103624.2019.1589489","Journal article","Adjei-Nsiah et al.","2019","1"
"Agricultural Productivity in Latin America and the Caribbean and Sources of Growth.","https://www.alice.cnptia.embrapa.br/bitstream/doc/657209/1/Chapter71HandbookFlavio.pdf","Handbook of Agricultural Economics","AFD AVILA et al.","2010","1"
"Desertification and Climate Change in Africa","https://agnes-africa.org/wp-content/uploads/2020/07/Policy-brief-1_Desertification-_Final_09032020.pdf","Policy Brief","AGNES","2020","1"
"Cocoa Cultivation Information Guide","https://www.agrifarming.in/cocoa-cultivation","Website","Agrifarm","2018","1"
"Climate Change and Coffee Quality: Systematic Review on the Effects of Environmental and Management Variation on Secondary Metabolites and Sensory Attributes of Coffea arabica and Coffea canephora","https://www.frontiersin.org/articles/10.3389/fpls.2021.708013/full","Journal article","Ahmed et al.","2021","1"
"AFRICAN CITIES MUST PREPARE FOR CLIMATE MIGRATION","https://www.preventionweb.net/news/african-cities-must-prepare-climate-migration","Report","Aimée-Noël","2021","1"
"The continent will bear the brunt of global climate change impacts and must prepare for internal migration.","https://issafrica.org/iss-today/african-cities-must-prepare-for-climate-migration","ISS Report","Aimée-Noël","2021","2"
"The Mitigating Impact of Land Tenure Security on Drought-Induced Food Insecurity: Evidence from Rural Malawi","https://doi.org/10.1080/00220388.2020.1762862","Journal","Ajefu and Abiona","2020","1"
"Rice and risks in the Mekong Delta","https://doi.org/10.1787/15615529","OECD Report","Akam and Gruere","2018","1"
"Water Governance in Latin America and the Caribbean: A Multi-Level Approach”, OECD Regional Development Working Papers,","http://dx.doi.org/10.1787/5k9crzqk3ttj-en",,"Akhmouch","2012","1"
"Women, Culture and Africa’s Land Reform Agenda","https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02234/full","Journal article","Akinola et al.","2018","1"
"Trade-offs and synergies of climate change adaptation strategies among smallholder farmers in sub-Saharan Africa: A systematic review.","https://doi.org/10.1016/j.regsus.2021.05.002","Journal","Akinyi et al.","2021","1"
"Child malnutrition in sub-Saharan Africa: A meta-analysis of demographic and health surveys (2006-2016).","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5426674/","Journal","Akombi et al.","2017","1"
"Gender Inequality and Food Insecurity in the Asian Food System During the COVID-19 Pandemic","https://www.adb.org/sites/default/files/institutional-document/731791/adou2021bp-gender-food-insecurity-covid-19.pdf","Report","Akter","2021","1"
"Droughts in Syria: an assessment of impacts and options for improving the resilience of the poor.","https://tind-customer-agecon.s3.amazonaws.com/b3536998-ef89-41a3-875e-9b50ebd35f07?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%272_Al-Riffai.pdf&response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=86400&X-Amz-Credential=AKIAXL7W7Q3XHXDVDQYS%2F20220522%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20220522T204830Z&X-Amz-Signature=8f192259b633380670b0ee6cfa2817537b6bfac4e5794896dfd81ea1295f721c","Quartely Journal","Al-Riffai and Breisinger","2012","1"
"Crop Diversification in Rice—Based Cropping Systems
Improves the System Productivity, Profitability
and Sustainability","https://www.mdpi.com/2071-1050/13/11/6288","Journal article","Alam et al.","2021","1"
"Vulnerability of smallholder farmers’ to climate change and variability in the central highlands of Ethiopia. E","https://www.ajol.info/index.php/ejossah/article/view/159451","Journal article","Alemayehu and Bewket","2016","1"
"HOW CAN AFRICAN AGRICULTURE ADAPT TO CLIMATE CHANGE?: INSIGHTS FROM ETHIOPIA AND SOUTH AFRICA","https://media.africaportal.org/documents/Research_Brief_Series_15.pdf","INTERNATIONAL FOOD POLICY RESEARCH INSTITUTE(IFPRI) Report","Alemu et al.","2011","1"
"Africa agriculture status report 2014: Climate change and smallholder agriculture in sub-saharan Africa","https://cgspace.cgiar.org/handle/10568/42343","Report","Alliance for Green Revolution in Africa","2014","1"
"Adaptándose en los paramos. Prácticas productivas para la conservación del paramo y la adaptación al cambio climático en sus comunidades [Adapting in the paramos. Productive practices for paramo conservation and climate change adaptation in their communities]","https://portals.iucn.org/library/sites/library/files/documents/2015-060.pdf","Report","Almeida","2015","1"
"Extreme hydroclimatic events in rural communities of the Brazilian Amazon: local perceptions of change, impacts, and adaptation","https://link.springer.com/content/pdf/10.1007/s10113-021-01857-0.pdf","Journal article","Almudi and Sinclair","2022","1"
"Rural Livelihood Diversification in Sub-Saharan Africa: A Literature Review.","https://www.researchgate.net/publication/280938280_Rural_Livelihood_Diversification_in_Sub-Saharan_Africa_A_Literature_Review","Journal","Alobo Loison ","2015","1"
"Rural Livelihood Diversification in Sub-Saharan Africa: A Literature Review.","https://www.tandfonline.com/doi/full/10.1080/00220388.2015.1046445","Journal","Alobo Loison ","2015","2"
"Sustainable development requires global awareness and local action.","https://www.dandc.eu/en/article/literacy-rates-have-risen-sub-saharan-africa-reality-probably-worse-official-numbers-suggest","Report","Alphonce Shiundu","2018","1"
"Determinants of food insecurity among smallholder farmer households in Central America: recurrent versus extreme weather-driven events.","https://edepot.wur.nl/515706","Journal","Alpízar et al.","2020","1"
"Effects of Climate Change on the Yield and Cropping Area of Major Food Crops: A Case of Bangladesh.","https://www.researchgate.net/publication/272148874_Effects_of_Climate_Change_on_the_Yield_and_Cropping_Area_of_Major_Food_Crops_A_Case_of_Bangladesh","Journal article","Amin et al.","2015","1"
"Chapter 7: The cereal-root crop mixed farming system","https://worldagroforestry.org/publication-chapter/chapter-7-cereal-root-crop-mixed-farming-system","Book","Amir Kassam et al.","2022","1"
"Climate Change in Asia and the Pacific: How Can Countries Adapt?","https://www.adb.org/sites/default/files/publication/159335/adbi-climate-change-asia-and-pacific-how-can-countries-adapt.pdf","Book","Anbumozhi et al.","2012","1"
"TOWARDS NATIONAL DROUGHT POLICIES IN LATIN AMERICA 
AND THE CARIBBEAN REGION","https://www.unccd.int/sites/default/files/relevant-links/2018-04/LAC_drought_white_paper_0.pdf","UNCCD publication","Antonio","2018","1"
"Improving the effectiveness of agricultural extension services in supporting farmers to adapt to climate change: Insights from northeastern Ghana","https://www.sciencedirect.com/science/article/pii/S2212096321000334","Journal article","Antwi-Agyei et al.","2021","1"
"Climate Change and Agricultural Insurance in the Asia and the Pacific Region","https://www.adb.org/sites/default/files/institutional-document/731791/adou2021bp-climate-change-agri-insurance-asia-pacific.pdf","Report","Architesh.","2019","1"
"Fire-induced loss of the world’s most biodiverse forests in Latin America.","https://www.science.org/doi/10.1126/sciadv.abd3357#:~:text=Fire%2Dinduced%20forest%20degradation%20in,losses%20are%20associated%20with%20fires.","Journal article","Armenteras et al.","2021","1"
"Climate variability and yield risk in South Asia’s rice–wheat systems: emerging evidence from Pakistan","https://link.springer.com/article/10.1007/s10333-016-0544-0","Journal article","Arshad et al.","2016","1"
"Climate change and agriculture in South Asia: adaptation options in smallholder production systems","https://doi.org/10.1007/s10668-019-00414-4","Journal","Aryal et al.","2019","1"
"Climate change and agriculture in South Asia: adaptation options in smallholder production systems. Environment, Development and Sustainability","https://link.springer.com/article/10.1007/s10668-019-00414-4","Report","Aryal et al.","2020","1"
"Climate change and agriculture in South Asia: adaptation options in smallholder production systems","https://link.springer.com/article/10.1007/s10668-019-00414-4","Journal article","Aryal et al.","2020","2"
"Climate change and agriculture in South Asia: adaptation options in smallholder production systems","https://link.springer.com/article/10.1007/s10668-019-00414-4","Journal","Aryal et al.","2020","3"
"Climate risks and adaptation strategies of farmers in East Africa and South Asia","https://www.researchgate.net/publication/351659727_Climate_risks_and_adaptation_strategies_of_farmers_in_East_Africa_and_South_Asia","Journal article","Aryal et al.","2021","1"
"ASEAN State of Climate Change Report: Current status and outlook of the ASEAN region","https://asean.org/wp-content/uploads/2021/10/ASCCR-e-publication-Final-12-Oct-2021.pdf","Report","ASEAN","2021","1"
"Factors affecting the economic losses due to livestock diseases: a case study of district faisalabad","https://www.researchgate.net/publication/281924837_Factors_affecting_the_economic_losses_due_to_livestock_diseases_A_case_study_of_district_Faisalabad","Journal article","Ashfaq et al.","2015","1"
"Green gram growing and cultivation practices","https://www.asiafarming.com/green-gram-growing-cultivation-practices","Webpage","Asia Farming","2021","1"
"Deficit irrigation as a sustainable option for improving water productivity in Sub-Saharan Africa: the case of Ethiopia. A critical review","https://iopscience.iop.org/article/10.1088/2515-7620/ac2a74","Journal","Asmamaw et al.","2021","1"
"Health shocks in Sub-Saharan Africa: are the poor and uninsured households more vulnerable?. Health Econ.","https://doi.org/10.1186/s13561-018-0210-x","Journal Article","Atake","2018","1"
"Soil Degradation in India: Causes, Major Threats, and Management Options","https://www.naro.affrc.go.jp/archive/niaes/marco/marco2015/text/ws3-2_m_s_aulakh.pdf","Research paper","Aulakh and Sidhu","2015","1"
"Climate change and human heat stress exposure in sub-Saharan Africa","https://cabidigitallibrary.org/doi/10.1079/PAVSNNR202116049","Report","Ayal","2021","1"
"Challenges of assessing the sustainability of (agro)-pastoral systems","https://doi.org/10.1016/j.livsci.2011.03.019","Journal article","Ayantunde at al.","2011","1"
"Risk Perception and Lowland Rice Farming Change in Savannakhet Province, Southern Laos","https://doi.org/10.1163/15700615-20211014","Journal article","Baird et al.","2021","1"
"Forage conservation in sub-Saharan Africa: Review of experiences, challenges, and opportunities","https://acsess.onlinelibrary.wiley.com/doi/pdf/10.1002/agj2.20954","Journal article","Balehegn et al.","2022","1"
"Expanding blueberry production into non-traditional
 production areas: Northern Chile and Argentina, Mexico and Spain","file:///C:/Users/Gavin/Dropbox/Gav/CRISP/Research/Latin%20America%20Irrigated/Resources/Commodity/Banados%202019.html
","Journal article","Banados","2009","1"
"Water Systems Management in South Asia: Need for a Research Framework","https://www.researchgate.net/publication/262127006_Water_Systems_Management_in_South_Asia_Need_for_a_Research_Framework","Journal","Bandyopadhyay","2007","1"
"Agriculture and Food Systems in Latin America and the Caribbean Poised for Transformational Changes","http://www.worldbank.org/en/region/lac/brief/lac-chief-economist","World Bank Report","Banerjee et al.","2020","2"
"Climate Change Impacts on Agriculture in Latin America and the Caribbean: An Application of the Integrated Economic-Environmental Modeling (IEEM) Platform","https://dx.doi.org/10.18235/0003794","Inter-American Development Bank Publication","Banerjee et al.","2021","1"
"Climate Change Impacts on Agriculture in Latin 
America and the Caribbean: An Application of the Integrated Economic-Environmental Modeling (IEEM) Platform","https://publications.iadb.org/publications/english/document/Climate-Change-Impacts-on-Agriculture-in-Latin-America-and-the-Caribbean-An-Application-of-the-Integrated-Economic-Environmental-Modeling-IEEM-Platform.pdf","Report","Banerjee et al.","2021","3"
"Climate Change and Chronic Food Insecurity in Sub-Saharan Africa","https://www.imf.org/-/media/Files/Publications/DP/2022/English/CCCFISSAEA.ashx","Journal article","Baptista et al.","2022","1"
"Simulating the impact of extreme heat and frost events on wheat crop production.","https://www.sciencedirect.com/science/article/pii/S0378429014003268","Journal","Barlow","2015","1"
"AgriLAC Resiliente: Resilient Agrifood Innovation Systems Driving Food Security, Inclusive Growth, and Reduced Out-Migration in Latin America and the Caribbean (LAC)","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://storage.googleapis.com/cgiarorg/2021/12/AgriLAC-Resiliente.pdf","Report","Baron and Govaerts","2021","1"
"Increasing activity of tropical cyclones in East Asia during the mature boreal autumn linked to long-term climate variability.","https://www.nature.com/articles/s41612-021-00222-6","Journal","Basconcillo and Moon","2022","1"
"The World Bank’s New Poverty Data: Implications for the Asian Development Bank","https://www.adb.org/sites/default/files/publication/28698/poverty-data-implications.pdf","World Bank Report","Bauer","2008","1"
"Building climate-resilient food systems for Pacific Islands","https://cgspace.cgiar.org/handle/10568/67172","Report","Bell and Taylor","2015","1"
,"http://erepository.uonbi.ac.ke/bitstream/handle/11295/161576/Benimana%20U_Factors%20Determining%20Choice%20and%20Impact%20of%20Hermetic%20Maize%20Storage%20Technology%20Adoption%20on%20Smallholder%20Farmers%E2%80%99%20Income%20in%20Gatsibo%20District%2C%20Rwanda.pdf?sequence=1","Thesis","Benimana","2021","1"
"Prevalence and factors associated with food insecurity in Latin America and the Caribbean during the first wave of the COVID-19 pandemic,","https://doi.org/10.1016/j.heliyon.2021.e08091","Journal","Benites-Zapata et al.","2021","1"
"Impact of Climate Change on Rice Production: An Indian Perspective.","https://www.researchgate.net/publication/352889126_Impact_of_Climate_Change_on_Rice_Production_An_Indian_Perspective","Newsletter","Bera and Sarkar","2021","1"
"Assessing The Evidence: Climate Change and Migration in Peru","https://publications.iom.int/system/files/pdf/assessing-the-evidence-peru.pdf","Report","Bergmann et al.","2021","1"
,"http://erepository.uonbi.ac.ke/bitstream/handle/11295/104740/Bett_An%20Assessment%20Of%20The%20Effects%20Of%20Climate%20Variability%20On%20Tea%20Production%20In%20Kericho%20County%20A%20Case%20Study%20Of%20James%20Finlay%E2%80%99S%20%28Kenya%29%20Limited%20Tea%20Estates%2C%20Kericho%2C%20Kenya.pdf?sequence=1","Journal article","Bett et al.","2018","1"
"Evolution of extreme rainfall events over Indo-Gangetic plain in changing climate during 1901–2010","https://www.researchgate.net/publication/332954306_Evolution_of_extreme_rainfall_events_over_Indo-Gangetic_plain_in_changing_climate_during_1901-2010","Journal article","Bhatla et al.","2019","1"
"Sustainability issues on rice–wheat cropping system","https://www.researchgate.net/publication/286903722_Sustainability_Issues_On_Rice-Wheat_Cropping_System","Journal article","Bhatt et al.","2016","1"
"Rice–wheat system in the northwest Indo‑Gangetic plains of South Asia: issues and technological interventions for increasing productivity and sustainability","https://link.springer.com/article/10.1007/s10333-021-00846-7","Journal article","Bhatt et al.","2021","1"
"Effect of Soil Water Deficit on Growth and Development of Plants: A Review. In: Soil Water Deficit and Physiological Issues in Plants","https://doi.org/10.1007/978-981-33-6276-5_5","Report","Bhattacharya","2021","1"
"Rainfall trends in the African Sahel: Characteristics, processes, and causes","https://doi.org/10.1002/wcc.591","Journal article","Biasutti","2019","1"
"Physical and Chemical Properties of Soil in the Sahelian Region: Case Study in Nioro du Rip, Senegal","https://www.researchgate.net/publication/343391766_Physical_and_Chemical_Properties_of_Soil_in_the_Sahelian_Region_Case_Study_in_Nioro_du_Rip_Senegal","Journal article","Biaye et al.","2020","1"
"Rainwater harvesting and management in rainfed agricultural systems in sub-Saharan Africa – A review","https://www.researchgate.net/publication/251679597_Rainwater_harvesting_and_management_in_rainfed_agricultural_systems_in_sub-Saharan_Africa_-_A_review","journal","Biazin et al.","2012","1"
"Portfolios of Climate SmartAgriculture Practices in
Smallholder Rice-Wheat Systemof Eastern Indo-Gangetic Plains-Crop Productivity, Resource Use Efficiency and Environmental Foot Prints","https://www.mdpi.com/2073-4395/10/10/1561","Journal article","Bijarniya et al.","2020","1"
"Exploring the factors causing the poor performance of most irrigation schemes in post-independence sub-Saharan Africa","https://www.tandfonline.com/doi/full/10.1080/07900627.2020.1808448","Journal article","Bjornlund et al.","2020","1"
"Why agricultural production in sub-Saharan Africa remains low compared to the rest of the world:A historical perspective","https://www.tandfonline.com/doi/full/10.1080/07900627.2020.1739512","Article","Bjornlund et al.","2020","2"
"Why food insecurity persists in sub-Saharan Africa: A review of existing evidence","https://rdcu.be/cWVMt","Journal","Bjornlund et al.","2022","3"
"Why food insecurity persists in sub-Saharan Africa: A review of existing evidence","https://link.springer.com/article/10.1007/s12571-022-01256-1","Journal article","Bjornlund et al.","2022","4"
"Why food insecurity persists in sub-Saharan Africa: A review of existing evidence","https://doi.org/10.1007/s12571-022-01256-1","Journal","Bjornlund et al.","2022","5"
"Land and water use changes in the US–Mexico border region, 1992–2011","https://iopscience.iop.org/article/10.1088/1748-9326/aae53e
","Journal article","Bohn et al.","2018","1"
"Impacts of climate change on global coffee production industry: Review","https://doi.org/10.5897/AJAR2017.12147","Journal article","Bongase","2017","1"
"Women and Agriculture The Untapped Opportunity in the Wave of Transformation","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Events/DakAgri2015/Women_and_Agriculture_The_Untapped_Opportunity_in_the_Wave_of_Transformation.pdf","report","Bongiwe","2015","1"
"Enabling trade across borders and food security in Africa","https://link.springer.com/article/10.1007/s12571-020-01095-y","Journal article","Bonuedi et al.","2020","1"
"Assessing the Impacts of the COVID-19 pandemic on the livelihoods of rural people: A review of the evidence","https://www.un.org/development/desa/dspd/wp-content/uploads/sites/22/2021/07/sitko-paper.pdf","Journal","Bordi et al.","2021","1"
"Climate Change in the MENA Region: Environmental Risks, Socioeconomic Effects and Policy Challenges for the Future","https://www.iemed.org/wp-content/uploads/2021/01/Climate-Change-in-the-MENA-Region.pdf","Report","Borghesi and Ticci","2019","1"
"Climate-Smart Agricultural Practices in Ghana","https://cgspace.cgiar.org/handle/10568/102186","Report","Botchway et al.","2018","1"
"Economics of Land Degradation in Argentina","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_11","Journal article","Bouza et al.","2015","1"
"AN OUTLOOK ON ASIA’S AGRICULTURAL AND RURAL
TRANSFORMATION","https://www.ifad.org/documents/38714170/41201480/apr_outlook.pdf/a1f8762e-ee0d-490a-cf3a-399241e34087?t=1561034540000","IFAD Report","Brescian et al.","2019","1"
"Designing a Pest and Disease Outbreak Warning System for Farmers, Agronomists and Agricultural Input Distributors in East Africa","https://www.mdpi.com/2075-4450/13/3/232/pdf","journal","Brown et al.","2022","1"
"The case for distributed irrigation as a development priority in sub-Saharan Africa.","https://doi.org/10.1073/pnas.1203597110","Jounal","Burney et al.","2013","1"
"Climate Smart Food Systems","https://www.frontiersin.org/articles/10.3389/fsufs.2020.00043/full","Journal","Butler et al.","2020","1"
"Asparagus falcatus (sicklethorn)","https://www.cabi.org/isc/datasheet/66024954","Datasheet","CABI","2021","1"
"Climate impacts of the El Niño–Southern Oscillation on South America","https://www.researchgate.net/profile/Weston-Anderson-2/publication/340635829_Climate_impacts_of_the_El_Nino-Southern_Oscillation_on_South_America/links/61fa7f2e1e98d168d7e7d3ea/Climate-impacts-of-the-El-Nino-Southern-Oscillation-on-South-America.pdf?origin=publication_detail","Report","Cai et al.","2020","1"
"Land of Senegal","https://www.britannica.com/place/Senegal/Land","Webpage","Camara et al.","2018","1"
"Building Capabilities of Local Climate Change Communicators towards Climate Change Adaptation in the Upland Communities in Southeast Asia","https://www.researchgate.net/publication/316586118 _Building_Capabilities_of_Local_Climate_Change_Communicators_towards_Climate_Change_Adaptation_in_the_Upland_Communities_in_Southeast_Asia","Policy brief","Carandang et al.","2016","1"
"Enhancing adaptive capacities for climate change adaptation of upland communities in South East Asia: Cases from the Philippines, Lao PDR, Indonesia and Vietnam","https://www.researchgate.net/publication/333649575_Enhancing_Local_Adaptive_Capacities_of_Selected_Upland_Farming_Communities_in_Southeast_Asia_Lessons_and_Experiences","Policy brief","Carandang","2010","1"
"Smallholder Farmers Spend Credit Primarily on Food: Gender Differences and Food Security Implications in a Changing Climate.","https://www.frontiersin.org/articles/10.3389/fsufs.2019.00056/full","Research article","Carranza et al.","2019","1"
"The Economics of Climate Change in South Asia Adaptation and Impact Assessment","https://www.adb.org/sites/default/files/publication/39302/casa-update-3-economics-climate-change_0.pdf","Report","CASA","2015","1"
"Acai Palm","http://www.phytotheca.com/phytotheca/acai-palm/","Webpage","CC Grow","2022","1"
"Climate Change Vulnerability and Risk Assessment of
Agriculture and Food Security in Ethiopia Which Way Forward?","https://www.researchgate.net/profile/Maren-Radeny-2/publication/280067216_Climate_Change_Vulnerability_and_Risk_Assessment_of_Agriculture_and_Food_Security_in_Ethiopia_Which_Way_Forward/links/55a63e6708aec374938f8d9c/Climate-Change-Vulnerability-and-Risk-Assessment-of-Agriculture-and-Food-Security-in-Ethiopia-Which-Way-Forward.pdf","Working paper","CCAFS","2013","1"
"The drought and salinity intrusion in the Mekong River Delta of Vietnam: Assessment Report","https://cgspace.cgiar.org/handle/10568/75633","Report","CCAFS","2016","1"
"The IPCC's Fifth Assessment Report: What's in it for Latin America?","https://cdkn.org/resource/whats-in-it-for-latin-america","Report","CDKN","2014","1"
"Staple Food Prices in Sub-Saharan Africa","https://www.imf.org/-/media/Files/Publications/WP/2022/English/wpiea2022135-print-pdf.ashx","Report","Cedric et al.","2022","1"
"Africa Food Prices Are Soaring Amid High Import Reliance","https://www.imf.org/en/Blogs/Articles/2022/09/26/africa-food-prices-are-soaring-amid-high-import-reliance","IMF Report","Cedric et al.","2022","2"
"A Moment of Equality for Latin America: Challenges for Redistribution","https://books.google.co.ke/books?id=e8m1CwAAQBAJ&pg=PA233&lpg=PA233&dq=(CEPAL,2012)&source=bl&ots=pw3hlraZKF&sig=ACfU3U3AcOn1SDcjLHVBtvZWxV6kdeYp-w&hl=en&sa=X&ved=2ahUKEwjqiqCs18D3AhURR_EDHfg8DjcQ6AF6BAgSEAM#v=onepage&q=(CEPAL%2C2012)&f=false","CEPAL Books","CEPAL","2012","1"
"Land governance in Latin America and the Caribbean: Innovation and inclusion for economic recovery and resilience","https://www.fao.org/3/cb8229en/cb8229en.pdf","Report","Cerrato et al.","2022","1"
"Building resilience through sustainable groundwater use","https://wle.cgiar.org/solutions/groundwater","Report","CGIAR","2020","1"
"Farm-Level Technical Efficiency and Its Determinants of Rice Production in Indo-Gangetic Plains: A Stochastic Frontier Model Approach","https://www.mdpi.com/2071-1050/14/4/2267","Journal article","Chandel et al.","2022","1"
"Evaluating sustainable adaptation strategies for vulnerable mega-deltas using system dynamics modelling: Rice agriculture in the Mekong Delta's An Giang Province, Vietnam","https://doi.org/10.1016/j.scitotenv.2016.02.162","Journal article","Chapman and Darby","2016","1"
"Impact of climate change on crop suitability in sub-Saharan Africa in parameterized and convection-permitting regional climate models.","https://iopscience.iop.org/article/10.1088/1748-9326/ab9daf","Journal","Chapman et al.","2020","1"
"Impact of climate change on crop suitability in sub-Saharan Africa in parameterized and convection-permitting regional climate models","https://www.researchgate.net/publication/342247136_Impact_of_climate_change_on_crop_suitability_in_sub-Saharan_Africa_in_parameterized_and_convection-permitting_regional_climate_models","Journal article","Chapman et al.","2020","2"
"Impacts of climate change on agro-climatic suitability of major food crops in Ghana.","https://doi.org/10.1371/journal.pone.0229881","Journal article","Chemura et al.","2020","1"
"Polyphenols as potential indicators for drought tolerance in tea
(Camellia sinensis L. O. Kuntze).
","https://doi.org/10.1271/bbb.70156","Journal article","Cheruiyot et al.","2007","1"
"Analysis of Links between Climate Variables and Tea Production in
the Recent Past in Kenya","http://donnishjournals.org/djres/abstract/2015/march/cheserek-et-al.php","Journal article","Cheserek et al.","2015","1"
"The ‘new’ African customary land tenure. Characteristic, features and policy implications of a new paradigm","https://doi.org/10.1016/j.landusepol.2018.04.014","Journal","Chimhowu","2019","1"
"Strengthening Conservation Agriculture innovation systems in sub-Saharan Africa: lessons from a stakeholder analysis.","https://doi.org/10.1080/14735903.2021.1911511","Journal","Chinseu et al.","2022","1"
"Orographic rainfall hot spots in the Andes‐Amazon transition according to the TRMM precipitation radar and in situ data","https://repositorio.igp.gob.pe/handle/20.500.12816/2240","Report","Chávez and Takahashi","2017","1"
"Climate-Smart Agriculture in Senegal","https://climateknowledgeportal.worldbank.org/sites/default/files/2019-06/SENEGAL_CSA_Profile.pdf","Report","CIAT and USAID","2016","1"
"Climate-Smart Agriculture in Zambia","https://cgspace.cgiar.org/handle/10568/83484","CIAT and World Bank report","CIAT and World Bank","2017","1"
"Climate-Smart Agriculture in Zambia","https://cgspace.cgiar.org/handle/10568/83484","Report","CIAT and World Bank","2017","2"
"Climate-Smart Agriculture in Zimbabwe","https://cgspace.cgiar.org/handle/10568/97083","Report","CIAT and World bank","2017","3"
"Climate-Smart Agriculture in Mozambique","https://cgspace.cgiar.org/handle/10568/83483","Report","CIAT and World bank","2017","4"
"Climate-Smart Agriculture in Ethiopia","https://cgspace.cgiar.org/handle/10568/92491","Report","CIAT and World bank","2017","5"
"Climate-Smart Agriculture in Lesotho","https://cgspace.cgiar.org/handle/10568/97084","Report","CIAT and World bank","2017","6"
"Future Climate Scenarios for Kenya’s Tea Growing Areas","https://hdl.handle.net/10568/72340","Report","CIAT","2011","1"
"Generating drought tolerant maize varieties in Latin America","Generating drought tolerant maize varieties in Latin America – CIMMYT","CIMMYT news publication","CIMMYT","2013","1"
"A climate-smart remodeling of South Asia’s rice-wheat cropping is urgent","https://www.cimmyt.org/news/a-climate-smart-remodeling-of-south-asias-rice-wheat-cropping-is-urgent/","Publication","CIMMYT","2022","1"
"Climate and Environmental Change in River Deltas Globally: Expected Impacts, Resilience, and Adaptation","https://citations.springernature.com/item?doi=10.1007/978-94-007-3962-8_2","Book Chapter","Claudia and Renaud","2012","1"
"DROUGHT TOLERANCE","https://croplife.org/wp-content/uploads/2014/12/FactSheet_1Page_DroughtTolerance_Final_LoRes.pdf","Report","CLI","2014","1"
"The Complex Epidemiological Relationship between Flooding Events and Human Outbreaks of Mosquito-Borne Diseases: A Scoping Review","https://ehp.niehs.nih.gov/doi/full/10.1289/EHP8887","Journal article","Coalson et al.","2021","1"
